CHORD      note  ma mi au di s2 s4 b5 ~6 ~7 ~9 11 +M7 +9
C#m9      (0.16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
C#9       (0.16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
C#aug9    (0.16, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)
C#dim9    (0.16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)
C#M9sus2  (0.16, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)
C#M9sus4  (0.16, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)
C#9sus2   (0.16, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)
C#9sus4   (0.16, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)
C#M11     (0.16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
C#m11     (0.16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
C#11      (0.16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
C#aug11   (0.16, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)
C#M11sus2 (0.16, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)
C#11sus2  (0.16, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)
C#mM7     (0.16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)
C#mM7(9)  (0.16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)
C#M6      (0.16, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)
C#m6      (0.16, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)
C#M6(9)   (0.16, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)
C#m6(9)   (0.16, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)
Dmaj      (0.24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
Dmin      (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
Daug      (0.24, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
Ddim      (0.24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
Dsus2     (0.24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
Dsus4     (0.24, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)
DM7       (0.24, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)
Dm7       (0.24, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)
D7        (0.24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)
Daug7     (0.24, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)
Ddim7     (0.24, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)
Do7       (0.24, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0)
DM7sus2   (0.24, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0)
DM7sus4   (0.24, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0)
