Cmaj C E G   1 5 8 
D#M11sus2 D# F A# D F G#   4 6 11 15 18 21 
D#11sus2 D# F A# C# F G#   4 6 11 14 18 21 
D#mM7 D# F# A# D   4 7 11 15 
D#mM7(9) D# F# A# D F   4 7 11 15 18 
D#M6 D# G A# C   4 8 11 13 
D#m6 D# F# A# C   4 7 11 13 
D#M6(9) D# G A# C F   4 8 11 13 18 
D#m6(9) D# F# A# C F   4 7 11 13 18 
Emaj E G# B   5 9 12 
Emin E G B   5 8 12 
Eaug E G# C   5 9 13 
Edim E G A#   5 8 11 
Esus2 E F# B   5 7 12 
Esus4 E A B   5 10 12 
EM7 E G# B D#   5 9 12 16 
Em7 E G B D   5 8 12 15 
E7 E G# B D   5 9 12 15 
Eaug7 E G# C D   5 9 13 15 
Edim7 E G A# C#   5 8 11 14 
Eo7 E G A# D   5 8 11 15 
EM7sus2 E F# B D#   5 7 12 16 
EM7sus4 E A B D#   5 10 12 16 
E7sus2 E F# B D   5 7 12 15 
E7sus4 E A B D   5 10 12 15 
EM9 E G# B D# F#   5 9 12 16 19 
Em9 E G B D F#   5 8 12 15 19 
E9 E G# B D F#   5 9 12 15 19 
Eaug9 E G# C D F#   5 9 13 15 19 
Edim9 E G A# C# F#   5 8 11 14 19 
EM9sus2 E F# B D# F#   5 7 12 16 19 
EM9sus4 E A B D# F#   5 10 12 16 19 
E9sus2 E F# B D F#   5 7 12 15 19 
E9sus4 E A B D F#   5 10 12 15 19 
EM11 E G# B D# F# A   5 9 12 16 19 22 
Em11 E G B D F# A   5 8 12 15 19 22 
E11 E G# B D F# A   5 9 12 15 19 22 
Eaug11 E G# C D F# A   5 9 13 15 19 22 
EM11sus2 E F# B D# F# A   5 7 12 16 19 22 
E11sus2 E F# B D F# A   5 7 12 15 19 22 
EmM7 E G B D#   5 8 12 16 
EmM7(9) E G B D# F#   5 8 12 16 19 
EM6 E G# B C#   5 9 12 14 
Em6 E G B C#   5 8 12 14 
EM6(9) E G# B C# F#   5 9 12 14 19 
Em6(9) E G B C# F#   5 8 12 14 19 
Fmaj F A C   6 10 13 
Fmin F G# C   6 9 13 
Faug F A C#   6 10 14 
Fdim F G# B   6 9 12 
Fsus2 F G C   6 8 13 
Fsus4 F A# C   6 11 13 
FM7 F A C E   6 10 13 17 
Fm7 F G# C D#   6 9 13 16 
F7 F A C D#   6 10 13 16 
Faug7 F A C# D#   6 10 14 16 
Fdim7 F G# B D   6 9 12 15 
Fo7 F G# B D#   6 9 12 16 
FM7sus2 F G C E   6 8 13 17 
FM7sus4 F A# C E   6 11 13 17 
F7sus2 F G C D#   6 8 13 16 
F7sus4 F A# C D#   6 11 13 16 
FM9 F A C E G   6 10 13 17 20 
Fm9 F G# C D# G   6 9 13 16 20 
F9 F A C D# G   6 10 13 16 20 
Faug9 F A C# D# G   6 10 14 16 20 
Fdim9 F G# B D G   6 9 12 15 20 
FM9sus2 F G C E G   6 8 13 17 20 
FM9sus4 F A# C E G   6 11 13 17 20 
F9sus2 F G C D# G   6 8 13 16 20 
F9sus4 F A# C D# G   6 11 13 16 20 
FM11 F A C E G A#   6 10 13 17 20 23 
Fm11 F G# C D# G A#   6 9 13 16 20 23 
F11 F A C D# G A#   6 10 13 16 20 23 
Faug11 F A C# D# G A#   6 10 14 16 20 23 
FM11sus2 F G C E G A#   6 8 13 17 20 23 
F11sus2 F G C D# G A#   6 8 13 16 20 23 
FmM7 F G# C E   6 9 13 17 
FmM7(9) F G# C E G   6 9 13 17 20 
FM6 F A C D   6 10 13 15 
Fm6 F G# C D   6 9 13 15 
FM6(9) F A C D G   6 10 13 15 20 
Fm6(9) F G# C D G   6 9 13 15 20 
F#maj F# A# C#   7 11 14 
F#min F# A C#   7 10 14 
F#aug F# A# D   7 11 15 
F#dim F# A C   7 10 13 
F#sus2 F# G# C#   7 9 14 
F#sus4 F# B C#   7 12 14 
F#M7 F# A# C# F   7 11 14 18 
F#m7 F# A C# E   7 10 14 17 
F#7 F# A# C# E   7 11 14 17 
F#aug7 F# A# D E   7 11 15 17 
F#dim7 F# A C D#   7 10 13 16 
F#o7 F# A C E   7 10 13 17 
F#M7sus2 F# G# C# F   7 9 14 18 
F#M7sus4 F# B C# F   7 12 14 18 
F#7sus2 F# G# C# E   7 9 14 17 
F#7sus4 F# B C# E   7 12 14 17 
F#M9 F# A# C# F G#   7 11 14 18 21 
F#m9 F# A C# E G#   7 10 14 17 21 
F#9 F# A# C# E G#   7 11 14 17 21 
F#aug9 F# A# D E G#   7 11 15 17 21 
F#dim9 F# A C D# G#   7 10 13 16 21 
F#M9sus2 F# G# C# F G#   7 9 14 18 21 
F#M9sus4 F# B C# F G#   7 12 14 18 21 
F#9sus2 F# G# C# E G#   7 9 14 17 21 
F#9sus4 F# B C# E G#   7 12 14 17 21 
F#M11 F# A# C# F G# B   7 11 14 18 21 24 
F#m11 F# A C# E G# B   7 10 14 17 21 24 
F#11 F# A# C# E G# B   7 11 14 17 21 24 
F#aug11 F# A# D E G# B   7 11 15 17 21 24 
F#M11sus2 F# G# C# F G# B   7 9 14 18 21 24 
F#11sus2 F# G# C# E G# B   7 9 14 17 21 24 
F#mM7 F# A C# F   7 10 14 18 
F#mM7(9) F# A C# F G#   7 10 14 18 21 
F#M6 F# A# C# D#   7 11 14 16 
F#m6 F# A C# D#   7 10 14 16 
F#M6(9) F# A# C# D# G#   7 11 14 16 21 
F#m6(9) F# A C# D# G#   7 10 14 16 21 
Gmaj G B D   8 12 15 
Gmin G A# D   8 11 15 
Gaug G B D#   8 12 16 
Gdim G A# C#   8 11 14 
Gsus2 G A D   8 10 15 
Gsus4 G C D   8 13 15 
GM7 G B D F#   8 12 15 19 
Gm7 G A# D F   8 11 15 18 
G7 G B D F   8 12 15 18 
Gaug7 G B D# F   8 12 16 18 
Gdim7 G A# C# E   8 11 14 17 
Go7 G A# C# F   8 11 14 18 
GM7sus2 G A D F#   8 10 15 19 
GM7sus4 G C D F#   8 13 15 19 
G7sus2 G A D F   8 10 15 18 
G7sus4 G C D F   8 13 15 18 
GM9 G B D F# A   8 12 15 19 22 
Gm9 G A# D F A   8 11 15 18 22 
G9 G B D F A   8 12 15 18 22 
Gaug9 G B D# F A   8 12 16 18 22 
Gdim9 G A# C# E A   8 11 14 17 22 
GM9sus2 G A D F# A   8 10 15 19 22 
GM9sus4 G C D F# A   8 13 15 19 22 
G9sus2 G A D F A   8 10 15 18 22 
G9sus4 G C D F A   8 13 15 18 22 
GM11 G B D F# A C   8 12 15 19 22 1 
Gm11 G A# D F A C   8 11 15 18 22 1 
G11 G B D F A C   8 12 15 18 22 1 
Gaug11 G B D# F A C   8 12 16 18 22 1 
GM11sus2 G A D F# A C   8 10 15 19 22 1 
G11sus2 G A D F A C   8 10 15 18 22 1 
GmM7 G A# D F#   8 11 15 19 
GmM7(9) G A# D F# A   8 11 15 19 22 
GM6 G B D E   8 12 15 17 
Gm6 G A# D E   8 11 15 17 
GM6(9) G B D E A   8 12 15 17 22 
Gm6(9) G A# D E A   8 11 15 17 22 
G#maj G# C D#   9 13 16 
G#min G# B D#   9 12 16 
G#aug G# C E   9 13 17 
G#dim G# B D   9 12 15 
G#sus2 G# A# D#   9 11 16 
G#sus4 G# C# D#   9 14 16 
G#M7 G# C D# G   9 13 16 20 
G#m7 G# B D# F#   9 12 16 19 
G#7 G# C D# F#   9 13 16 19 
G#aug7 G# C E F#   9 13 17 19 
G#dim7 G# B D F   9 12 15 18 
G#o7 G# B D F#   9 12 15 19 
G#M7sus2 G# A# D# G   9 11 16 20 
G#M7sus4 G# C# D# G   9 14 16 20 
G#7sus2 G# A# D# F#   9 11 16 19 
G#7sus4 G# C# D# F#   9 14 16 19 
G#M9 G# C D# G A#   9 13 16 20 23 
G#m9 G# B D# F# A#   9 12 16 19 23 
G#9 G# C D# F# A#   9 13 16 19 23 
G#aug9 G# C E F# A#   9 13 17 19 23 
G#dim9 G# B D F A#   9 12 15 18 23 
G#M9sus2 G# A# D# G A#   9 11 16 20 23 
G#M9sus4 G# C# D# G A#   9 14 16 20 23 
G#9sus2 G# A# D# F# A#   9 11 16 19 23 
G#9sus4 G# C# D# F# A#   9 14 16 19 23 
G#M11 G# C D# G A# C#   9 13 16 20 23 2 
G#m11 G# B D# F# A# C#   9 12 16 19 23 2 
G#11 G# C D# F# A# C#   9 13 16 19 23 2 
G#aug11 G# C E F# A# C#   9 13 17 19 23 2 
G#M11sus2 G# A# D# G A# C#   9 11 16 20 23 2 
G#11sus2 G# A# D# F# A# C#   9 11 16 19 23 2 
G#mM7 G# B D# G   9 12 16 20 
G#mM7(9) G# B D# G A#   9 12 16 20 23 
G#M6 G# C D# F   9 13 16 18 
G#m6 G# B D# F   9 12 16 18 
G#M6(9) G# C D# F A#   9 13 16 18 23 
G#m6(9) G# B D# F A#   9 12 16 18 23 
Amaj A C# E   10 14 17 
Amin A C E   10 13 17 
Aaug A C# F   10 14 18 
Adim A C D#   10 13 16 
Asus2 A B E   10 12 17 
Asus4 A D E   10 15 17 
AM7 A C# E G#   10 14 17 21 
Am7 A C E G   10 13 17 20 
A7 A C# E G   10 14 17 20 
Aaug7 A C# F G   10 14 18 20 
Adim7 A C D# F#   10 13 16 19 
Ao7 A C D# G   10 13 16 20 
AM7sus2 A B E G#   10 12 17 21 
AM7sus4 A D E G#   10 15 17 21 
A7sus2 A B E G   10 12 17 20 
A7sus4 A D E G   10 15 17 20 
AM9 A C# E G# B   10 14 17 21 24 
Am9 A C E G B   10 13 17 20 24 
A9 A C# E G B   10 14 17 20 24 
Aaug9 A C# F G B   10 14 18 20 24 
Adim9 A C D# F# B   10 13 16 19 24 
AM9sus2 A B E G# B   10 12 17 21 24 
AM9sus4 A D E G# B   10 15 17 21 24 
A9sus2 A B E G B   10 12 17 20 24 
A9sus4 A D E G B   10 15 17 20 24 
AM11 A C# E G# B D   10 14 17 21 24 3 
Am11 A C E G B D   10 13 17 20 24 3 
A11 A C# E G B D   10 14 17 20 24 3 
Aaug11 A C# F G B D   10 14 18 20 24 3 
